CHROMOSOME,STRAND,LOCUS_ID,TSS
Chr2,+,LOC_Os02g03450.1,1402571
Chr2,+,LOC_Os02g03470.1,1412107
Chr2,+,LOC_Os02g04110.1,1788746
Chr2,+,LOC_Os02g04120.1,1793652
Chr2,-,LOC_Os02g04750.1,2166648
Chr2,-,LOC_Os02g02870.1,1104306
Chr2,-,LOC_Os02g02880.1,1111999
Chr2,+,LOC_Os02g02890.1,1116059
Chr2,-,LOC_Os02g02900.1,1125414
Chr2,-,LOC_Os02g02910.1,1132613
Chr2,+,LOC_Os02g03490.1,1420007
Chr2,+,LOC_Os02g03510.1,1427398
Chr2,-,LOC_Os02g04160.1,1819094
Chr2,+,LOC_Os02g04170.1,1821867
Chr2,+,LOC_Os02g12794.3,6716994
Chr2,+,LOC_Os02g12800.1,6721987
Chr2,+,LOC_Os02g14530.1,8004981
Chr2,-,LOC_Os02g15540.1,8715055
Chr2,-,LOC_Os02g15550.2,8730661
Chr2,+,LOC_Os02g13600.1,7300532
Chr2,-,LOC_Os02g13630.1,7314657
Chr2,+,LOC_Os02g13640.1,7316388
Chr2,+,LOC_Os02g13650.1,7321447
Chr2,-,LOC_Os02g13660.1,7325175
Chr2,+,LOC_Os02g11970.1,6205390
Chr2,+,LOC_Os02g14600.1,8057649
Chr2,-,LOC_Os02g12850.1,6788332
Chr2,+,LOC_Os02g13710.1,7365220
Chr2,+,LOC_Os02g13800.1,7463932
Chr2,+,LOC_Os02g12080.1,6268373
Chr2,+,LOC_Os02g14730.1,8135361
Chr2,+,LOC_Os02g12870.1,6790686
Chr2,-,LOC_Os02g13810.1,7470926
Chr2,+,LOC_Os02g13840.1,7491165
Chr2,+,LOC_Os02g14760.1,8164661
Chr2,+,LOC_Os02g13890.1,7542594
Chr2,+,LOC_Os02g12250.1,6382076
Chr2,-,LOC_Os02g12890.1,6805335
Chr2,+,LOC_Os02g13950.1,7594952
Chr2,+,LOC_Os02g13960.1,7612541
Chr2,-,LOC_Os02g12300.1,6402186
Chr2,+,LOC_Os02g12310.1,6404018
Chr2,+,LOC_Os02g14780.2,8196895
Chr2,+,LOC_Os02g14800.2,8209596
Chr2,-,LOC_Os02g12939.1,6835681
Chr2,+,LOC_Os02g13020.1,6902074
Chr2,+,LOC_Os02g13970.2,7621905
Chr2,-,LOC_Os02g12360.1,6441715
Chr2,+,LOC_Os02g12370.1,6443131
Chr2,+,LOC_Os02g12380.1,6447078
Chr2,-,LOC_Os02g14840.1,8248444
Chr2,+,LOC_Os02g14850.1,8256456
Chr2,-,LOC_Os02g14855.1,8262089
Chr2,+,LOC_Os02g14860.1,8262546
Chr2,+,LOC_Os02g13060.1,6915413
Chr2,+,LOC_Os02g13100.1,6956581
Chr2,+,LOC_Os02g14000.2,7643703
Chr2,+,LOC_Os02g12400.1,6468567
Chr2,-,LOC_Os02g12420.1,6480097
Chr2,+,LOC_Os02g12430.1,6482821
Chr2,+,LOC_Os02g14874.2,8276843
Chr2,+,LOC_Os02g14890.1,8292472
Chr2,+,LOC_Os02g14900.1,8299857
Chr2,+,LOC_Os02g13130.1,6979511
Chr2,+,LOC_Os02g13140.1,6985223
Chr2,+,LOC_Os02g14059.1,7676811
Chr2,+,LOC_Os02g14090.1,7690242
Chr2,+,LOC_Os02g14910.1,8323891
Chr2,-,LOC_Os02g14929.1,8343178
Chr2,+,LOC_Os02g13150.1,7006064
Chr2,+,LOC_Os02g14110.1,7706619
Chr2,-,LOC_Os02g14120.1,7715739
Chr2,-,LOC_Os02g14130.1,7723687
Chr2,-,LOC_Os02g12490.1,6533027
Chr2,+,LOC_Os02g12550.1,6559488
Chr2,+,LOC_Os02g12570.1,6568146
Chr2,-,LOC_Os02g15070.1,8403228
Chr2,-,LOC_Os02g13190.1,7028304
Chr2,-,LOC_Os02g13200.1,7034871
Chr2,-,LOC_Os02g13220.1,7046245
Chr2,+,LOC_Os02g14160.1,7751284
Chr2,-,LOC_Os02g14190.1,7776161
Chr2,-,LOC_Os02g12580.1,6577608
Chr2,-,LOC_Os02g12610.1,6588245
Chr2,+,LOC_Os02g15120.1,8422789
Chr2,+,LOC_Os02g15150.1,8446601
Chr2,-,LOC_Os02g15160.1,8455936
Chr2,-,LOC_Os02g15178.1,8460664
Chr2,+,LOC_Os02g13260.1,7062837
Chr2,-,LOC_Os02g13270.1,7069494
Chr2,+,LOC_Os02g13300.1,7083194
Chr2,-,LOC_Os02g14290.1,7852177
Chr2,+,LOC_Os02g12650.1,6599222
Chr2,+,LOC_Os02g15230.1,8501442
Chr2,-,LOC_Os02g13304.1,7089730
Chr2,+,LOC_Os02g13310.1,7096950
Chr2,+,LOC_Os02g13340.1,7115786
Chr2,+,LOC_Os02g13360.1,7126757
Chr2,-,LOC_Os02g12660.1,6614191
Chr2,+,LOC_Os02g12690.1,6637973
Chr2,-,LOC_Os02g12700.1,6645926
Chr2,-,LOC_Os02g15250.1,8518271
Chr2,+,LOC_Os02g15270.1,8536374
Chr2,-,LOC_Os02g15280.1,8539740
Chr2,-,LOC_Os02g13370.1,7133480
Chr2,+,LOC_Os02g13400.2,7144545
Chr2,-,LOC_Os02g12730.1,6660984
Chr2,-,LOC_Os02g15310.1,8558164
Chr2,-,LOC_Os02g13430.1,7175962
Chr2,+,LOC_Os02g14430.1,7938409
Chr2,-,LOC_Os02g14480.1,7978686
Chr2,+,LOC_Os02g14490.1,7985830
Chr2,-,LOC_Os02g12740.1,6672950
Chr2,-,LOC_Os02g12760.1,6683072
Chr2,+,LOC_Os02g15340.1,8582543
Chr2,-,LOC_Os02g15350.1,8593925
Chr2,-,LOC_Os02g15360.1,8601727
Chr2,-,LOC_Os02g13520.1,7248672
Chr2,-,LOC_Os02g13530.1,7260380
Chr2,-,LOC_Os02g10640.1,5600889
Chr2,+,LOC_Os02g10650.1,5604236
Chr2,-,LOC_Os02g10660.1,5614461
Chr2,-,LOC_Os02g11870.1,6150318
Chr2,+,LOC_Os02g11930.1,6183112
Chr2,+,LOC_Os02g11940.1,6188722
Chr2,-,LOC_Os02g08510.1,4595386
Chr2,-,LOC_Os02g08530.1,4607666
Chr2,+,LOC_Os02g08540.1,4616830
Chr2,+,LOC_Os02g08544.1,4625395
Chr2,-,LOC_Os02g09940.1,5168040
Chr2,-,LOC_Os02g09970.1,5184380
Chr2,-,LOC_Os02g09980.1,5189802
Chr2,+,LOC_Os02g10010.2,5207168
Chr2,+,LOC_Os02g10690.1,5623352
Chr2,-,LOC_Os02g10700.1,5631315
Chr2,-,LOC_Os02g10730.1,5655494
Chr2,+,LOC_Os02g07880.1,4129120
Chr2,-,LOC_Os02g09050.1,4630173
Chr2,-,LOC_Os02g10040.1,5221800
Chr2,-,LOC_Os02g10740.1,5668429
Chr2,+,LOC_Os02g10760.1,5688698
Chr2,-,LOC_Os02g10790.1,5724705
Chr2,-,LOC_Os02g07900.1,4140415
Chr2,+,LOC_Os02g07910.2,4141491
Chr2,-,LOC_Os02g07930.1,4151244
Chr2,-,LOC_Os02g10070.2,5249280
Chr2,-,LOC_Os02g10794.1,5732172
Chr2,+,LOC_Os02g10800.1,5736606
Chr2,-,LOC_Os02g09130.1,4689703
Chr2,+,LOC_Os02g09140.1,4690518
Chr2,-,LOC_Os02g10090.1,5257596
Chr2,-,LOC_Os02g10810.1,5742520
Chr2,-,LOC_Os02g10820.1,5748141
Chr2,-,LOC_Os02g10850.1,5758098
Chr2,+,LOC_Os02g09180.1,4717665
Chr2,-,LOC_Os02g10120.1,5282626
Chr2,-,LOC_Os02g10130.1,5306436
Chr2,-,LOC_Os02g10160.1,5328301
Chr2,-,LOC_Os02g10920.1,5800880
Chr2,-,LOC_Os02g08080.1,4268845
Chr2,+,LOC_Os02g09250.1,4765151
Chr2,+,LOC_Os02g10190.1,5339008
Chr2,-,LOC_Os02g10940.1,5813493
Chr2,-,LOC_Os02g08090.1,4274262
Chr2,+,LOC_Os02g08100.1,4280499
Chr2,-,LOC_Os02g08110.1,4288841
Chr2,-,LOC_Os02g09340.1,4806459
Chr2,-,LOC_Os02g09359.1,4817119
Chr2,+,LOC_Os02g10220.1,5351467
Chr2,-,LOC_Os02g10240.1,5366226
Chr2,-,LOC_Os02g10260.1,5380164
Chr2,+,LOC_Os02g11000.2,5841792
Chr2,+,LOC_Os02g08130.2,4302073
Chr2,-,LOC_Os02g09430.1,4841905
Chr2,-,LOC_Os02g09440.1,4847183
Chr2,-,LOC_Os02g09450.1,4852504
Chr2,+,LOC_Os02g10290.1,5404703
Chr2,-,LOC_Os02g11030.1,5909620
Chr2,-,LOC_Os02g11040.1,5914192
Chr2,+,LOC_Os02g08150.1,4315275
Chr2,+,LOC_Os02g09470.1,4859711
Chr2,+,LOC_Os02g09480.1,4867674
Chr2,-,LOC_Os02g10310.1,5418652
Chr2,+,LOC_Os02g11060.1,5924720
Chr2,-,LOC_Os02g11070.1,5933079
Chr2,-,LOC_Os02g08190.1,4338102
Chr2,+,LOC_Os02g08220.1,4350872
Chr2,-,LOC_Os02g08230.1,4362388
Chr2,-,LOC_Os02g09540.1,4913454
Chr2,-,LOC_Os02g09590.1,4937806
Chr2,-,LOC_Os02g09600.2,4942075
Chr2,-,LOC_Os02g11110.2,5957302
Chr2,-,LOC_Os02g11640.1,5979961
Chr2,+,LOC_Os02g08260.1,4384188
Chr2,-,LOC_Os02g08270.1,4393564
Chr2,-,LOC_Os02g09630.1,4952483
Chr2,-,LOC_Os02g09650.1,4959662
Chr2,-,LOC_Os02g10390.1,5470496
Chr2,-,LOC_Os02g11720.1,6039636
Chr2,+,LOC_Os02g11740.1,6057100
Chr2,+,LOC_Os02g11750.1,6062276
Chr2,-,LOC_Os02g09720.1,4998043
Chr2,+,LOC_Os02g09740.1,5019765
Chr2,-,LOC_Os02g10430.1,5480881
Chr2,-,LOC_Os02g10450.1,5491873
Chr2,+,LOC_Os02g11760.1,6069031
Chr2,+,LOC_Os02g08320.1,4423146
Chr2,-,LOC_Os02g08330.1,4426620
Chr2,-,LOC_Os02g09770.1,5043329
Chr2,+,LOC_Os02g10470.1,5501165
Chr2,-,LOC_Os02g11770.1,6079147
Chr2,+,LOC_Os02g11780.1,6083116
Chr2,+,LOC_Os02g08380.1,4460300
Chr2,-,LOC_Os02g09780.1,5047101
Chr2,-,LOC_Os02g09810.1,5061962
Chr2,-,LOC_Os02g11830.2,6129217
Chr2,+,LOC_Os02g08420.1,4497077
Chr2,+,LOC_Os02g08440.1,4542762
Chr2,-,LOC_Os02g09830.1,5068042
Chr2,-,LOC_Os02g09850.1,5079712
Chr2,+,LOC_Os02g10510.1,5523987
Chr2,-,LOC_Os02g10520.1,5536941
Chr2,+,LOC_Os02g10530.1,5548055
Chr2,-,LOC_Os02g10540.1,5552116
Chr2,-,LOC_Os02g11840.1,6138158
Chr2,+,LOC_Os02g08480.1,4563050
Chr2,-,LOC_Os02g08490.1,4573049
Chr2,+,LOC_Os02g09910.1,5131380
Chr2,+,LOC_Os02g09920.1,5145548
Chr2,-,LOC_Os02g09930.1,5158917
Chr2,+,LOC_Os02g10580.1,5565956
Chr2,-,LOC_Os02g10590.1,5569801
Chr2,+,LOC_Os02g10600.1,5573182
Chr2,-,LOC_Os02g10630.1,5593645
Chr2,+,LOC_Os02g20930.1,12365588
Chr2,-,LOC_Os02g20934.1,12382343
Chr2,+,LOC_Os02g25080.1,14557082
Chr2,+,LOC_Os02g22020.1,13096086
Chr2,+,LOC_Os02g23930.1,13863852
Chr2,+,LOC_Os02g20940.2,12382696
Chr2,+,LOC_Os02g20950.1,12387037
Chr2,+,LOC_Os02g22070.1,13127053
Chr2,+,LOC_Os02g19970.1,11749120
Chr2,+,LOC_Os02g19980.1,11756182
Chr2,-,LOC_Os02g24020.1,13923065
Chr2,+,LOC_Os02g22090.1,13144846
Chr2,+,LOC_Os02g19990.1,11758502
Chr2,-,LOC_Os02g24080.4,13951822
Chr2,+,LOC_Os02g21040.1,12464402
Chr2,+,LOC_Os02g21080.1,12494315
Chr2,+,LOC_Os02g22130.1,13173639
Chr2,+,LOC_Os02g22160.1,13200794
Chr2,-,LOC_Os02g24134.1,13987430
Chr2,+,LOC_Os02g20160.1,11876336
Chr2,+,LOC_Os02g21190.1,12569881
Chr2,+,LOC_Os02g22260.1,13280849
Chr2,-,LOC_Os02g20270.1,11941773
Chr2,+,LOC_Os02g24190.2,14011216
Chr2,+,LOC_Os02g24210.1,14025873
Chr2,+,LOC_Os02g21230.1,12594761
Chr2,-,LOC_Os02g21240.1,12604236
Chr2,-,LOC_Os02g21260.1,12618503
Chr2,+,LOC_Os02g21269.1,12620360
Chr2,+,LOC_Os02g22370.1,13349861
Chr2,-,LOC_Os02g22374.1,13364227
Chr2,+,LOC_Os02g24330.1,14115755
Chr2,-,LOC_Os02g21280.1,12633507
Chr2,-,LOC_Os02g21310.1,12651470
Chr2,-,LOC_Os02g21330.1,12657291
Chr2,-,LOC_Os02g24354.1,14132084
Chr2,+,LOC_Os02g21430.1,12720883
Chr2,-,LOC_Os02g21460.1,12735314
Chr2,+,LOC_Os02g22480.1,13417119
Chr2,+,LOC_Os02g20394.1,12019009
Chr2,-,LOC_Os02g20410.1,12034641
Chr2,-,LOC_Os02g21490.1,12746536
Chr2,-,LOC_Os02g21510.1,12762205
Chr2,+,LOC_Os02g20490.1,12086017
Chr2,+,LOC_Os02g21520.1,12765282
Chr2,+,LOC_Os02g21550.1,12788668
Chr2,+,LOC_Os02g22650.1,13495411
Chr2,-,LOC_Os02g20540.1,12114975
Chr2,-,LOC_Os02g20560.1,12129262
Chr2,-,LOC_Os02g21570.1,12812676
Chr2,+,LOC_Os02g21630.1,12846471
Chr2,+,LOC_Os02g24700.1,14333106
Chr2,+,LOC_Os02g21640.1,12852011
Chr2,+,LOC_Os02g21660.1,12869461
Chr2,+,LOC_Os02g21700.1,12893458
Chr2,-,LOC_Os02g21750.1,12927803
Chr2,+,LOC_Os02g23823.1,13759211
Chr2,-,LOC_Os02g23826.1,13773406
Chr2,+,LOC_Os02g20844.1,12320251
Chr2,-,LOC_Os02g20850.1,12326744
Chr2,-,LOC_Os02g20860.1,12338632
Chr2,+,LOC_Os02g21810.1,12970222
Chr2,+,LOC_Os02g21880.1,13006952
Chr2,-,LOC_Os02g20870.1,12348543
Chr2,+,LOC_Os02g25020.1,14507847
Chr2,-,LOC_Os02g25060.1,14537548
Chr2,+,LOC_Os02g21890.1,13014468
Chr2,+,LOC_Os02g21920.2,13039013
Chr2,+,LOC_Os02g21970.1,13059102
Chr2,+,LOC_Os02g18750.1,10931592
Chr2,-,LOC_Os02g18784.1,10948612
Chr2,-,LOC_Os02g19850.1,11668036
Chr2,-,LOC_Os02g19890.1,11707651
Chr2,-,LOC_Os02g17780.1,10283727
Chr2,+,LOC_Os02g18810.1,10960622
Chr2,-,LOC_Os02g18820.2,10986659
Chr2,-,LOC_Os02g15580.1,8754115
Chr2,+,LOC_Os02g16709.1,9544161
Chr2,+,LOC_Os02g16730.1,9551856
Chr2,+,LOC_Os02g16820.1,9580481
Chr2,+,LOC_Os02g17850.1,10330693
Chr2,-,LOC_Os02g18840.1,10997638
Chr2,-,LOC_Os02g18850.1,11004650
Chr2,+,LOC_Os02g15594.1,8760002
Chr2,+,LOC_Os02g15620.1,8779575
Chr2,-,LOC_Os02g16830.1,9588016
Chr2,-,LOC_Os02g16880.1,9623835
Chr2,+,LOC_Os02g17910.1,10371020
Chr2,+,LOC_Os02g17940.1,10386299
Chr2,-,LOC_Os02g18940.1,11067381
Chr2,+,LOC_Os02g15690.1,8834023
Chr2,+,LOC_Os02g15704.1,8850623
Chr2,-,LOC_Os02g15730.1,8867667
Chr2,-,LOC_Os02g15740.1,8871520
Chr2,+,LOC_Os02g15750.1,8873032
Chr2,+,LOC_Os02g16909.2,9641491
Chr2,+,LOC_Os02g15800.1,8927817
Chr2,-,LOC_Os02g15810.1,8937181
Chr2,-,LOC_Os02g15820.1,8943651
Chr2,+,LOC_Os02g16995.1,9708752
Chr2,-,LOC_Os02g17000.1,9715959
Chr2,-,LOC_Os02g19060.1,11127515
Chr2,+,LOC_Os02g19130.1,11151750
Chr2,-,LOC_Os02g19140.1,11161168
Chr2,-,LOC_Os02g15870.2,8981140
Chr2,+,LOC_Os02g19170.1,11180083
Chr2,-,LOC_Os02g19200.1,11193875
Chr2,+,LOC_Os02g19210.1,11199426
Chr2,-,LOC_Os02g15880.1,8989572
Chr2,+,LOC_Os02g17190.1,9848199
Chr2,+,LOC_Os02g18000.1,10444560
Chr2,+,LOC_Os02g15930.1,9021454
Chr2,-,LOC_Os02g15970.3,9056393
Chr2,-,LOC_Os02g17250.1,9893608
Chr2,+,LOC_Os02g17280.1,9902629
Chr2,+,LOC_Os02g18064.1,10483368
Chr2,+,LOC_Os02g18115.1,10525184
Chr2,-,LOC_Os02g19330.2,11300303
Chr2,+,LOC_Os02g15980.1,9064470
Chr2,+,LOC_Os02g16000.1,9082729
Chr2,+,LOC_Os02g16030.1,9106572
Chr2,+,LOC_Os02g16040.1,9116014
Chr2,-,LOC_Os02g17320.3,9937418
Chr2,-,LOC_Os02g17330.1,9954960
Chr2,-,LOC_Os02g18150.3,10543155
Chr2,-,LOC_Os02g18180.1,10558888
Chr2,-,LOC_Os02g19420.1,11346778
Chr2,+,LOC_Os02g17350.2,9972642
Chr2,-,LOC_Os02g17370.1,9990643
Chr2,+,LOC_Os02g17380.1,9993963
Chr2,-,LOC_Os02g19440.1,11357740
Chr2,+,LOC_Os02g17390.1,10001464
Chr2,+,LOC_Os02g18320.1,10634660
Chr2,+,LOC_Os02g19510.2,11399635
Chr2,-,LOC_Os02g17460.1,10049191
Chr2,+,LOC_Os02g17470.1,10051108
Chr2,-,LOC_Os02g18380.1,10701516
Chr2,-,LOC_Os02g18410.1,10716780
Chr2,+,LOC_Os02g19550.1,11427544
Chr2,+,LOC_Os02g17500.3,10074581
Chr2,+,LOC_Os02g18450.1,10739451
Chr2,+,LOC_Os02g18480.1,10758889
Chr2,-,LOC_Os02g19629.2,11474785
Chr2,+,LOC_Os02g19640.1,11478230
Chr2,-,LOC_Os02g19650.1,11488304
Chr2,-,LOC_Os02g16450.1,9393829
Chr2,+,LOC_Os02g16490.1,9409107
Chr2,-,LOC_Os02g17534.1,10095193
Chr2,-,LOC_Os02g18550.1,10825727
Chr2,+,LOC_Os02g16540.1,9446492
Chr2,+,LOC_Os02g16544.1,9449841
Chr2,-,LOC_Os02g16550.1,9463804
Chr2,+,LOC_Os02g16600.1,9486437
Chr2,-,LOC_Os02g17640.1,10155563
Chr2,-,LOC_Os02g17680.1,10189201
Chr2,+,LOC_Os02g19770.1,11568248
Chr2,+,LOC_Os02g19804.1,11578489
Chr2,+,LOC_Os02g16620.1,9497687
Chr2,+,LOC_Os02g16630.1,9502442
Chr2,-,LOC_Os02g16660.1,9518285
Chr2,+,LOC_Os02g17700.1,10207339
Chr2,-,LOC_Os02g18640.1,10862862
Chr2,+,LOC_Os02g18660.1,10870290
Chr2,-,LOC_Os02g18690.1,10901913
Chr2,+,LOC_Os02g30380.1,18091902
Chr2,+,LOC_Os02g30410.1,18110446
Chr2,+,LOC_Os02g30420.1,18120209
Chr2,-,LOC_Os02g33490.1,19921107
Chr2,-,LOC_Os02g31867.1,18826150
Chr2,-,LOC_Os02g31874.1,18831745
Chr2,-,LOC_Os02g30460.1,18142753
Chr2,-,LOC_Os02g30470.1,18146079
Chr2,-,LOC_Os02g33550.1,19955660
Chr2,-,LOC_Os02g33560.1,19967923
Chr2,-,LOC_Os02g33590.1,19983180
Chr2,-,LOC_Os02g31910.2,18849509
Chr2,+,LOC_Os02g31922.1,18860347
Chr2,+,LOC_Os02g31924.1,18861405
Chr2,-,LOC_Os02g31940.1,18878500
Chr2,-,LOC_Os02g29480.1,17515734
Chr2,-,LOC_Os02g29500.1,17521653
Chr2,+,LOC_Os02g29510.2,17528615
Chr2,+,LOC_Os02g32620.1,19342027
Chr2,-,LOC_Os02g32650.1,19354894
Chr2,-,LOC_Os02g32660.1,19367127
Chr2,+,LOC_Os02g30610.2,18219181
Chr2,+,LOC_Os02g30620.3,18227411
Chr2,-,LOC_Os02g31960.1,18897018
Chr2,+,LOC_Os02g32680.1,19388809
Chr2,-,LOC_Os02g30624.2,18235800
Chr2,-,LOC_Os02g30640.1,18241851
Chr2,+,LOC_Os02g30650.1,18252570
Chr2,+,LOC_Os02g32009.1,18908678
Chr2,+,LOC_Os02g32020.1,18910897
Chr2,-,LOC_Os02g32060.2,18939517
Chr2,+,LOC_Os02g32730.1,19437743
Chr2,+,LOC_Os02g32740.1,19444035
Chr2,+,LOC_Os02g30714.1,18296252
Chr2,-,LOC_Os02g32110.1,18976369
Chr2,-,LOC_Os02g32140.1,18988855
Chr2,-,LOC_Os02g32760.1,19458350
Chr2,-,LOC_Os02g32814.1,19486248
Chr2,-,LOC_Os02g30760.1,18327730
Chr2,+,LOC_Os02g30780.1,18334897
Chr2,-,LOC_Os02g32160.1,19001080
Chr2,-,LOC_Os02g32860.1,19514935
Chr2,-,LOC_Os02g30810.1,18372892
Chr2,+,LOC_Os02g30840.1,18385206
Chr2,+,LOC_Os02g30850.1,18414297
Chr2,+,LOC_Os02g32320.1,19084411
Chr2,-,LOC_Os02g32340.1,19097416
Chr2,-,LOC_Os02g32350.1,19105533
Chr2,+,LOC_Os02g29890.1,17781040
Chr2,+,LOC_Os02g29960.1,17805488
Chr2,-,LOC_Os02g32950.1,19568968
Chr2,-,LOC_Os02g32980.1,19598615
Chr2,+,LOC_Os02g32990.1,19614036
Chr2,-,LOC_Os02g33010.1,19628774
Chr2,-,LOC_Os02g30910.1,18457136
Chr2,-,LOC_Os02g30974.1,18509632
Chr2,+,LOC_Os02g30050.1,17846285
Chr2,+,LOC_Os02g33030.1,19636271
Chr2,+,LOC_Os02g33060.1,19644999
Chr2,-,LOC_Os02g33070.1,19649521
Chr2,+,LOC_Os02g32370.1,19121903
Chr2,-,LOC_Os02g32430.1,19180011
Chr2,-,LOC_Os02g32450.1,19187087
Chr2,+,LOC_Os02g30100.1,17873662
Chr2,+,LOC_Os02g30110.1,17880886
Chr2,-,LOC_Os02g30114.1,17889802
Chr2,+,LOC_Os02g33110.1,19682543
Chr2,-,LOC_Os02g33140.1,19713468
Chr2,+,LOC_Os02g31030.2,18537053
Chr2,+,LOC_Os02g32460.1,19192500
Chr2,+,LOC_Os02g32465.1,19201969
Chr2,-,LOC_Os02g32469.1,19204205
Chr2,+,LOC_Os02g32490.1,19219047
Chr2,+,LOC_Os02g30140.2,17905138
Chr2,+,LOC_Os02g30180.1,17930686
Chr2,-,LOC_Os02g33149.1,19717682
Chr2,+,LOC_Os02g33170.1,19723833
Chr2,-,LOC_Os02g33180.1,19729888
Chr2,-,LOC_Os02g31074.1,18573161
Chr2,-,LOC_Os02g32504.1,19235632
Chr2,+,LOC_Os02g33230.1,19750113
Chr2,-,LOC_Os02g33240.1,19759364
Chr2,-,LOC_Os02g31100.1,18596409
Chr2,-,LOC_Os02g31150.1,18655271
Chr2,+,LOC_Os02g32520.1,19251345
Chr2,-,LOC_Os02g32530.1,19261347
Chr2,-,LOC_Os02g30210.1,17961723
Chr2,+,LOC_Os02g30230.2,17975289
Chr2,+,LOC_Os02g33290.2,19781835
Chr2,+,LOC_Os02g33320.2,19791373
Chr2,-,LOC_Os02g33330.1,19798718
Chr2,-,LOC_Os02g33335.1,19802173
Chr2,-,LOC_Os02g31230.1,18717946
Chr2,+,LOC_Os02g32540.1,19260158
Chr2,-,LOC_Os02g32550.1,19273212
Chr2,+,LOC_Os02g30310.1,18039080
Chr2,+,LOC_Os02g33380.1,19834281
Chr2,-,LOC_Os02g33400.1,19845168
Chr2,-,LOC_Os02g33430.1,19873307
Chr2,-,LOC_Os02g32590.1,19313057
Chr2,-,LOC_Os02g32610.2,19332134
Chr2,+,LOC_Os02g30320.1,18058921
Chr2,+,LOC_Os02g33450.2,19882052
Chr2,-,LOC_Os02g31840.1,18806589
Chr2,+,LOC_Os02g31845.1,18811834
Chr2,+,LOC_Os02g28220.1,16702131
Chr2,-,LOC_Os02g26290.1,15437634
Chr2,-,LOC_Os02g26294.1,15446187
Chr2,+,LOC_Os02g27200.1,16002036
Chr2,-,LOC_Os02g27220.1,16014483
Chr2,-,LOC_Os02g28334.1,16748322
Chr2,+,LOC_Os02g28340.1,16750077
Chr2,+,LOC_Os02g26300.1,15447211
Chr2,-,LOC_Os02g26320.1,15460180
Chr2,+,LOC_Os02g26330.1,15467101
Chr2,-,LOC_Os02g26370.1,15485946
Chr2,+,LOC_Os02g28465.1,16831620
Chr2,-,LOC_Os02g26390.1,15499054
Chr2,+,LOC_Os02g26404.2,15510443
Chr2,+,LOC_Os02g26430.1,15521497
Chr2,+,LOC_Os02g26440.1,15524119
Chr2,-,LOC_Os02g27360.1,16120440
Chr2,-,LOC_Os02g26470.1,15544246
Chr2,-,LOC_Os02g26480.2,15558300
Chr2,+,LOC_Os02g27440.2,16172700
Chr2,+,LOC_Os02g28580.1,16915529
Chr2,+,LOC_Os02g26550.1,15584117
Chr2,+,LOC_Os02g27480.1,16259550
Chr2,-,LOC_Os02g28720.1,16985654
Chr2,-,LOC_Os02g25580.1,14962091
Chr2,-,LOC_Os02g26600.1,15619328
Chr2,-,LOC_Os02g26650.3,15647376
Chr2,+,LOC_Os02g27490.1,16265380
Chr2,-,LOC_Os02g28830.1,17052031
Chr2,-,LOC_Os02g25624.1,14982728
Chr2,-,LOC_Os02g26660.1,15655617
Chr2,+,LOC_Os02g28870.1,17085385
Chr2,+,LOC_Os02g28900.1,17118767
Chr2,-,LOC_Os02g25640.1,14993715
Chr2,-,LOC_Os02g25680.1,15034495
Chr2,-,LOC_Os02g27620.1,16364429
Chr2,-,LOC_Os02g28980.1,17160895
Chr2,+,LOC_Os02g25755.1,15082659
Chr2,+,LOC_Os02g26720.1,15697842
Chr2,-,LOC_Os02g27674.1,16398264
Chr2,+,LOC_Os02g25780.1,15106302
Chr2,+,LOC_Os02g25820.1,15130358
Chr2,-,LOC_Os02g25840.1,15143611
Chr2,-,LOC_Os02g26790.1,15726657
Chr2,-,LOC_Os02g26794.1,15727534
Chr2,+,LOC_Os02g26810.1,15734823
Chr2,+,LOC_Os02g26814.1,15740124
Chr2,+,LOC_Os02g27760.1,16440267
Chr2,+,LOC_Os02g29090.1,17223614
Chr2,-,LOC_Os02g29130.1,17254879
Chr2,+,LOC_Os02g25860.1,15151364
Chr2,+,LOC_Os02g25900.1,15192254
Chr2,-,LOC_Os02g26850.1,15765880
Chr2,+,LOC_Os02g26860.1,15770441
Chr2,-,LOC_Os02g27810.1,16468482
Chr2,-,LOC_Os02g29140.1,17266066
Chr2,-,LOC_Os02g29160.1,17290200
Chr2,-,LOC_Os02g25960.1,15238844
Chr2,-,LOC_Os02g26940.1,15825977
Chr2,+,LOC_Os02g26960.1,15829250
Chr2,-,LOC_Os02g29190.1,17316341
Chr2,-,LOC_Os02g29210.1,17335614
Chr2,-,LOC_Os02g26014.1,15283398
Chr2,+,LOC_Os02g27000.1,15865332
Chr2,+,LOC_Os02g26160.1,15363265
Chr2,+,LOC_Os02g27030.1,15891528
Chr2,+,LOC_Os02g27060.1,15910710
Chr2,-,LOC_Os02g27070.1,15919906
Chr2,-,LOC_Os02g27960.1,16552919
Chr2,-,LOC_Os02g27110.1,15950110
Chr2,-,LOC_Os02g28040.1,16612238
Chr2,+,LOC_Os02g28074.1,16617411
Chr2,+,LOC_Os02g29340.1,17428027
Chr2,+,LOC_Os02g29380.1,17446354
Chr2,+,LOC_Os02g29400.1,17464020
Chr2,-,LOC_Os02g28110.1,16641280
Chr2,-,LOC_Os02g38440.1,23244640
Chr2,-,LOC_Os02g38470.1,23262297
Chr2,-,LOC_Os02g40784.1,24724120
